timestamp,device_id,cpu_usage,memory_usage,temperature_c,network_latency_ms,throughput_mbps,error_count,uptime_pct,location,date,hour,month,risk_flag,error_severity,cpu_category,latency_category,latency_score,device_health_score
2025-10-22 12:09:00,DEV_0312,60.29,27.93,38.13,36.54,104.15,0,97.39,Gurgaon,2025-10-22,12,10,False,No Error,Normal,Excellent,73.58872425009035,70.26
2025-09-11 05:44:00,DEV_0263,53.0,62.11,42.67,42.35,115.48,2,98.54,Pune,2025-09-11,5,9,False,Low,Normal,Excellent,69.38923021322732,65.12
2025-02-19 16:11:00,DEV_0350,43.67,44.74,69.18,36.19,71.5,0,99.85,Noida,2025-02-19,16,2,False,No Error,Normal,Excellent,73.84170581857607,72.67
2025-09-30 18:55:00,DEV_0230,38.85,29.97,33.6,15.27,77.21,0,100.0,Pune,2025-09-30,18,9,False,No Error,Low,Excellent,88.96277556920853,80.14
2025-01-29 17:11:00,DEV_0152,57.45,34.11,38.89,84.98,152.76,0,98.31,Pune,2025-01-29,17,1,False,No Error,Normal,Good,38.576075171666055,63.15
2025-09-29 10:59:00,DEV_0397,57.05,65.3,46.85,44.83,56.97,0,99.26,Delhi,2025-09-29,10,9,False,No Error,Normal,Excellent,67.5966750993856,63.12
2025-09-26 12:00:00,DEV_0099,46.8,59.09,39.02,33.51,101.58,0,99.61,Noida,2025-09-26,12,9,False,No Error,Normal,Excellent,75.77882182869534,69.18
2025-05-08 20:57:00,DEV_0283,34.51,61.31,42.9,72.28,194.59,1,100.0,Noida,2025-05-08,20,5,False,Low,Low,Good,47.755692085290924,66.94
2025-03-10 03:36:00,DEV_0304,58.11,45.59,39.08,40.4,158.78,0,99.52,Gurgaon,2025-03-10,3,3,False,No Error,Normal,Excellent,70.7986989519335,67.46
2025-11-27 03:16:00,DEV_0445,69.44,63.92,19.29,39.17,176.7,0,99.27,Pune,2025-11-27,3,11,False,No Error,Normal,Excellent,71.68774846404048,60.5
2025-11-25 20:13:00,DEV_0191,80.07,49.25,41.44,31.36,117.34,0,98.7,Pune,2025-11-25,20,11,False,No Error,High,Excellent,77.33285146367908,61.21
2025-04-05 03:55:00,DEV_0368,39.53,84.46,49.92,30.6,64.03,0,99.44,Gurgaon,2025-04-05,3,4,False,No Error,Low,Excellent,77.88218286953379,66.66
2025-08-13 04:29:00,DEV_0175,75.4,69.97,39.59,29.13,53.99,0,98.8,Bengaluru,2025-08-13,4,8,False,No Error,High,Excellent,78.94470545717382,58.81
2025-06-21 01:11:00,DEV_0314,41.88,39.89,37.56,40.54,129.5,0,99.06,Noida,2025-06-21,1,6,False,No Error,Normal,Excellent,70.6975063245392,73.32
2025-06-02 01:21:00,DEV_0442,54.82,60.87,46.52,45.94,172.07,0,100.0,Gurgaon,2025-06-02,1,6,False,No Error,Normal,Excellent,66.79436212504518,64.74
2025-07-05 13:20:00,DEV_0340,54.78,45.45,38.67,56.9,85.14,0,99.56,Noida,2025-07-05,13,7,False,No Error,Normal,Good,58.872425009035055,66.12
2025-04-29 22:34:00,DEV_0182,26.89,63.49,45.53,13.69,66.27,0,98.68,Pune,2025-04-29,22,4,False,No Error,Low,Excellent,90.10480664980123,76.86
2025-03-20 16:03:00,DEV_0477,42.63,26.41,53.69,66.15,116.33,0,98.82,Gurgaon,2025-03-20,16,3,False,No Error,Normal,Good,52.18648355619804,72.01
2025-07-06 02:03:00,DEV_0373,29.57,49.49,36.73,61.22,71.66,0,99.72,Gurgaon,2025-07-06,2,7,False,No Error,Low,Good,55.74990964943983,72.3
2025-04-02 22:12:00,DEV_0430,30.69,69.03,45.94,32.07,123.5,0,99.59,Pune,2025-04-02,22,4,False,No Error,Low,Excellent,76.81966028189375,72.23
2025-09-07 17:35:00,DEV_0431,66.31,33.94,40.37,49.14,152.9,0,100.0,Gurgaon,2025-09-07,17,9,False,No Error,Normal,Excellent,64.48138778460427,66.22
2025-10-13 06:09:00,DEV_0237,46.73,45.84,34.9,31.86,77.35,0,99.09,Bengaluru,2025-10-13,6,10,False,No Error,Normal,Excellent,76.97144922298519,71.93
2025-05-14 17:35:00,DEV_0301,34.54,23.06,52.54,45.82,178.9,0,99.96,Delhi,2025-05-14,17,5,False,No Error,Low,Excellent,66.8810986628117,78.39
2025-05-10 10:43:00,DEV_0320,32.48,65.02,28.15,33.93,160.48,0,98.11,Gurgaon,2025-05-10,10,5,False,No Error,Low,Excellent,75.47524394651246,71.78
2025-09-14 13:20:00,DEV_0255,81.91,73.88,47.58,82.16,130.21,0,99.67,Pune,2025-09-14,13,9,False,No Error,High,Good,40.61438380917962,48.67
2025-06-28 13:48:00,DEV_0151,100.0,67.22,62.05,68.07,110.04,4,99.38,Noida,2025-06-28,13,6,True,Medium,Critical,Good,50.79869895193351,46.53
2025-06-05 13:54:00,DEV_0372,27.9,94.27,52.18,44.9,154.2,0,98.47,Bengaluru,2025-06-05,13,6,False,No Error,Low,Excellent,67.54607878568848,65.83
2025-04-11 09:25:00,DEV_0183,78.36,59.25,47.21,59.49,110.89,0,98.17,Delhi,2025-04-11,9,4,False,No Error,High,Good,57.00036140224069,55.49
2025-08-20 15:58:00,DEV_0389,70.35,45.98,42.24,17.87,63.78,0,97.42,Gurgaon,2025-08-20,15,8,False,No Error,High,Excellent,87.08348391760029,66.34
2025-03-31 23:36:00,DEV_0053,66.27,68.07,55.24,44.26,190.25,0,99.68,Pune,2025-03-31,23,3,False,No Error,Normal,Excellent,68.00867365377665,60.01
2025-01-16 21:40:00,DEV_0420,80.94,45.11,58.82,83.79,149.55,0,99.14,Bengaluru,2025-01-16,21,1,False,No Error,High,Good,39.43621250451752,54.33
2025-02-02 00:05:00,DEV_0317,18.84,51.04,45.21,3.84,142.11,0,99.37,Bengaluru,2025-02-02,0,2,False,No Error,Low,Excellent,97.22443079147091,83.4
2025-02-23 07:32:00,DEV_0391,53.17,59.28,34.48,72.35,102.73,0,99.2,Pune,2025-02-23,7,2,False,No Error,Normal,Good,47.70509577159379,61.49
2025-03-21 04:48:00,DEV_0472,51.45,74.16,35.75,1.0,162.85,0,98.95,Delhi,2025-03-21,4,3,False,No Error,Normal,Excellent,99.27719551861222,69.27
